year,p5,p25,p50,p75,p95
2024.0,1.0,1.0,1.0,1.0,1.0
2025.0,2.394636822034891,2.551655818504349,2.67021487986739,2.789979471122499,2.990276832111481
2026.0,4.151796066673913,4.609045970711718,4.9303174642775875,5.287387392160483,5.827213753412071
2027.0,6.245809718231848,7.086487505376642,7.724186503478821,8.415221283000314,9.413910233621008
2028.0,8.587506188200036,9.951040685735276,10.962201870149018,12.080316842220103,13.560181520369014
2029.0,11.211746658422626,13.107051912866265,14.575656343734092,16.127187532151247,18.21787505650267
2030.0,14.07371534978807,16.54597630390694,18.466233763526994,20.421587856163026,23.29805145033017
2031.0,17.219305175798915,20.190325852809792,22.635277503725852,25.169952182505522,28.524580391413984
2032.0,20.342128070420664,24.031899402137714,26.954450480086756,29.92490476923153,34.19465740985931
2033.0,23.574824746576773,28.046917306548277,31.515568803139487,35.03106352920037,40.14106084663373
2034.0,27.049836960547054,32.11545308304967,36.269067663979456,40.24920914647708,46.10108151862214
2035.0,30.49846093549751,36.27532024440432,41.022322523335546,45.55637797105225,52.43141243466876
2036.0,34.001977266848336,40.47320300254039,45.89702230829066,50.95906715622682,58.68479977861601
2037.0,37.45711976797204,44.68066468232743,50.79580000536991,56.37259912756917,65.25432224961051
2038.0,41.121985955327595,49.012389222281286,55.798957153328324,61.919441451494635,71.92960841695509
2039.0,44.74777712549633,53.32145252639344,60.75753749647823,67.27382555572751,78.35167119725635
2040.0,48.56489448620459,57.71185342928991,65.86954526030641,72.77935831077019,84.65969074447085
2041.0,52.21203068664011,61.94467177940494,70.75356750612107,78.25834309167843,90.98139839103607
2042.0,55.980156789595185,66.26490022496674,75.60170558185794,83.83035283056066,97.64850020100636
2043.0,59.75880447152308,70.55366699244875,80.62385124609614,89.2616698056508,104.26916749957535
2044.0,63.399884704235234,75.0565158485008,85.55431887483816,94.81465937124145,110.9220321188213
2045.0,66.81072106823649,79.4366903457554,90.65302487956802,100.23960950525102,117.5392777157665
2046.0,70.48693491331824,83.78178111368737,95.63522627628129,105.92937196081593,124.24865546634531
2047.0,73.9965866861702,88.11621287147996,100.56843555346887,111.53048519159614,130.91038317450457
2048.0,77.47274239120154,92.48840157015846,105.5683247906293,117.14869560561746,137.55792065340893
2049.0,81.09058782384973,96.84998147632294,110.51530023599587,122.65077777564764,144.03940424298318
2050.0,84.79290427606811,101.151910976171,115.45006893170074,128.26375205896178,150.52090151657532
