sample,year,cumulative_progress,progress_rate,bottleneck_stage
2,2034.0,29.816457989374744,3.9764104872417887,8.0
2,2035.0,33.90317510874833,4.086717119373586,8.0
2,2036.0,38.07873954887954,4.175564440131215,8.0
2,2037.0,42.325025426911836,4.246285878032296,8.0
2,2038.0,46.62695856564707,4.3019331387352375,8.0
2,2039.0,50.97218737237442,4.345228806727349,8.0
2,2040.0,55.350733533231214,4.37854616085679,8.0
2,2041.0,59.7546442948117,4.4039107615804856,8.0
2,2042.0,64.17766250127141,4.423018206459723,8.0
2,2043.0,68.61492525152124,4.437262750249835,8.0
2,2044.0,73.06269737663028,4.447772125109041,8.0
2,2045.0,77.51814211917954,4.455444742549259,8.0
2,2046.0,81.97912850524038,4.460986386060836,8.0
2,2047.0,86.44407291140844,4.464944406168062,8.0
2,2048.0,90.91181114176001,4.4677382303515705,8.0
2,2049.0,95.38149679361884,4.46968565185882,8.0
2,2050.0,99.8525216393775,4.471024845758665,8.0
3,2024.0,1.0,1.0,7.0
3,2025.0,2.3008227797664347,1.3008227797664347,7.0
3,2026.0,3.900790390585711,1.5999676108192766,7.0
3,2027.0,5.793545832171347,1.8927554415856358,7.0
3,2028.0,7.968725331779577,2.1751794996082303,7.0
3,2029.0,10.4126584357369,2.443933103957322,7.0
3,2030.0,13.10907438702272,2.696415951285819,7.0
3,2031.0,16.039793989538584,2.930719602515866,7.0
3,2032.0,19.185387811978444,3.1455938224398596,7.0
3,2033.0,22.52578405918889,3.3403962472104447,7.0
3,2034.0,26.04081257828316,3.5150285190942685,7.0
3,2035.0,29.710675068288797,3.669862490005638,7.0
3,2036.0,33.5163353956171,3.8056603273283005,7.0
3,2037.0,37.43982774404515,3.923492348428046,7.0
3,2038.0,41.46448391903556,4.02465617499041,7.0
3,2039.0,45.57508428354555,4.110600364509989,7.0
3,2040.0,49.7579393725148,4.182855088969247,7.0
3,2041.0,54.00091111803546,4.2429717455206655,7.0
3,2042.0,58.29338377887488,4.292472660839425,7.0
3,2043.0,62.62619512679364,4.332811347918754,7.0
3,2044.0,66.99153826880615,4.365343142012515,7.0
3,2045.0,71.38284378849227,4.391305519686118,7.0
3,2046.0,75.79465080374764,4.411807015255383,7.0
3,2047.0,80.22247420433847,4.427823400590822,7.0
3,2048.0,84.66267388583509,4.440199681496629,7.0
3,2049.0,89.11233035525404,4.449656469418954,7.0
3,2050.0,93.56912974149814,4.456799386244096,7.0
4,2024.0,1.0,1.0,7.0
4,2025.0,2.1696206437349534,1.1696206437349532,7.0
4,2026.0,3.508890380435819,1.3392697367008652,7.0
4,2027.0,5.017072578985108,1.508182198549289,7.0
4,2028.0,6.692714790518355,1.6756422115332472,7.0
4,2029.0,8.533700142908149,1.840985352389794,7.0
4,2030.0,10.537300423269707,2.0036002803615585,7.0
4,2031.0,12.700230395016233,2.1629299717465247,7.0
4,2032.0,15.018702891851452,2.3184724968352204,7.0
4,2033.0,17.48848423251039,2.46978134065894,7.0
4,2034.0,20.104949507045692,2.6164652745353023,7.0
4,2035.0,22.8631372979055,2.758187790859806,7.0
4,2036.0,25.75780341676113,2.8946661188556324,7.0
