parameter,stage_index,base_value,sensitivity_index,elasticity,output_range
S7_p_success,7.0,0.33,0.9000991795178183,-0.8100892615660376,76.0 - 153.0
S8_p_success,8.0,0.58,0.6811710143279193,-0.07156778864309737,85.6 - 143.9
g_ai,,0.5,0.6361859874518747,0.2647526151712142,44.4 - 98.9
S7_M_max,7.0,2.8,0.6238196809540436,0.8116923552525515,47.0 - 100.4
S8_M_max,8.0,3.2,0.37204125088156254,0.12523226991558276,53.8 - 85.6
S6_M_max,6.0,4.0,0.0,0.0,85.6 - 85.6
S6_p_success,6.0,0.66,0.0,0.0,85.6 - 85.6
S9_M_max,9.0,2.0,0.0,0.0,85.6 - 85.6
S9_p_success,9.0,0.9,0.0,0.0,85.6 - 85.6
