year,p5,p25,p50,p75,p95
2024.0,1.0,1.0,1.0,1.0,1.0
2025.0,2.040600517208107,2.065402279340723,2.0852680906781407,2.1083140721704483,2.146375194333984
2026.0,3.118815110195114,3.1900463428058012,3.248447657423762,3.313100305221333,3.4210736248378764
2027.0,4.231904017842479,4.3686687217857285,4.482678538667077,4.600888536651361,4.7994554066665875
2028.0,5.376572941232958,5.597421331337112,5.775753446641399,5.971058461059882,6.275133744640685
2029.0,6.5509998224063475,6.868721192025125,7.132143408572272,7.413524936894136,7.853106685949715
2030.0,7.746374573733356,8.179692010193435,8.535676267457873,8.91750218436862,9.504301352554016
2031.0,8.968312526514028,9.533195673539181,9.988017785710053,10.485668864081912,11.232105362750017
2032.0,10.20870200061731,10.918188802350386,11.486369797783995,12.098877743972226,13.031171373329977
2033.0,11.468411850377095,12.336396331781234,13.009365096575095,13.761765754640763,14.892313895108485
2034.0,12.742779086969607,13.793081803114372,14.589342810122844,15.45690648002451,16.792003591114643
2035.0,14.027680017255529,15.257493359362442,16.199290163810073,17.206913635538502,18.71999071210399
2036.0,15.348591160678888,16.76068606615021,17.829022850189993,18.985005777697037,20.69195437934003
2037.0,16.670057690224592,18.274140800657605,19.47728253256186,20.772173274195325,22.732334207200406
2038.0,18.02456800093424,19.810150590969084,21.15987914248929,22.588406193639635,24.8334646498393
2039.0,19.384403452616358,21.372085860781482,22.883005021048866,24.451516328097334,26.939632300096815
2040.0,20.744516107138978,22.953692493912193,24.59296789522196,26.336507028194898,29.039990229144514
2041.0,22.108151143500162,24.54295068325369,26.348172857259154,28.233799955687996,31.19008457649164
2042.0,23.478128753966356,26.15200793388596,28.099166041890896,30.157937338396515,33.32436787279674
2043.0,24.854913295741188,27.774834875309203,29.861583223596178,32.11259417883326,35.4758737035352
2044.0,26.2378458576522,29.391308624790163,31.656796194799426,34.07142682313018,37.698240018380034
2045.0,27.62633145574039,31.038587175678504,33.5105020528017,36.05683847097688,39.904733992102685
2046.0,29.026902021128414,32.70235451666596,35.31877553100746,38.05556302149759,42.102977919417754
2047.0,30.443594133950327,34.36539773319051,37.167394261752406,40.03998291687175,44.3821641144373
2048.0,31.865825680193375,36.03727042155868,39.014407171751266,42.05967057102178,46.6000221877344
2049.0,33.29245303932215,37.72230349234007,40.87758039205822,44.06880059758025,48.783353668029186
2050.0,34.67139655073669,39.40722103311437,42.73845031658543,46.080546812229755,51.056746776623136
