year,p5,p25,p50,p75,p95
2024.0,1.0,1.0,1.0,1.0,1.0
2025.0,2.145652948043075,2.199869707177601,2.2504714413416034,2.3083304984104354,2.395877788186043
2026.0,3.415984770961671,3.5743448571956793,3.7143652558898363,3.877106041854037,4.109445404346181
2027.0,4.796964773774569,5.095283249729546,5.359028572759837,5.653195721340764,6.078879571152683
2028.0,6.279660774804442,6.754557313149703,7.159352086998564,7.616995171118473,8.275656815498767
2029.0,7.838517642590776,8.526037396956276,9.090951621796247,9.750681530581563,10.666519018944813
2030.0,9.474222676590141,10.382306341636916,11.14627882616763,12.035084010189358,13.200854475042224
2031.0,11.17153722830934,12.35266952666429,13.290682993604229,14.398770556379255,15.844075000365182
2032.0,12.900329676657678,14.37233889912733,15.525729892919736,16.851540520207458,18.657661192570963
2033.0,14.698709391848894,16.452184383441946,17.840595390493576,19.4164679998376,21.55275100930572
2034.0,16.54393311113056,18.581785582116822,20.210066334041656,22.054532087608692,24.541834695811662
2035.0,18.40904104275072,20.74553457409326,22.623958240115513,24.7658766201478,27.589674968815274
2036.0,20.32704253592924,22.997631395027103,25.11787379495529,27.48976681389214,30.700177269113116
2037.0,22.22644968793657,25.23756433235006,27.677168987900288,30.23645990657026,33.85880812753884
2038.0,24.158223236167448,27.541432647733004,30.273324328054656,33.095740665266895,36.96145862187301
2039.0,26.13470811208838,29.854728182928536,32.86758141312921,35.8618713380608,40.27107154163659
2040.0,28.09619862679492,32.23862686834132,35.45872858921942,38.7357697622772,43.56517351599623
2041.0,30.10859584270279,34.59587864665693,38.07665454496342,41.64319919040295,46.80634229958016
2042.0,32.07639161945324,37.00355748327212,40.75527890639521,44.56339893444528,50.06265413576229
2043.0,34.10091146216678,39.50753603179112,43.42296229941282,47.474498559757535,53.33025649903068
2044.0,36.32150183655392,42.02782838434365,46.04650716659668,50.39614760846544,56.58682921735563
2045.0,38.40298562077412,44.45362546127009,48.794015129839906,53.377320128408996,59.95471644226351
2046.0,40.433543757632634,46.94853496631521,51.53614606226178,56.338884123836735,63.32391677029874
2047.0,42.468780681478805,49.402633122043945,54.26879948095298,59.34155777126206,66.54589498277835
2048.0,44.54049174110562,51.84972460326457,56.93498053533501,62.3397451358007,69.86494676034893
2049.0,46.5646468733883,54.331494770422196,59.682634990912675,65.31888164065194,73.21030601360272
2050.0,48.59091767377334,56.79940780034358,62.415289340381875,68.28403486146578,76.67512144565046
