sample,year,cumulative_progress,progress_rate,bottleneck_stage
0,2024.0,1.0,1.0,7.0
0,2025.0,2.8306721089818114,1.8306721089818114,8.0
0,2026.0,5.252102051054139,2.421429942072328,8.0
0,2027.0,8.11246290260086,2.860360851546721,8.0
0,2028.0,11.298947814634644,3.186484912033784,8.0
0,2029.0,14.727741710913644,3.428793896279001,8.0
0,2030.0,18.33657029631758,3.6088285854039337,8.0
0,2031.0,22.079163997320812,3.742593701003235,8.0
0,2032.0,25.921144690010287,3.8419806926894755,8.0
0,2033.0,29.836969554045826,3.91582486403554,8.0
0,2034.0,33.80766036732955,3.970690813283723,8.0
0,2035.0,37.81911638024963,4.011456012920087,8.0
0,2036.0,41.86086078741358,4.041744407163948,8.0
0,2037.0,45.925109360730396,4.064248573316815,8.0
0,2038.0,50.00607844719685,4.080969086466453,8.0
0,2039.0,54.09947081378344,4.093392366586589,8.0
0,2040.0,58.202093632065036,4.102622818281593,8.0
0,2041.0,62.31157464219853,4.109481010133492,8.0
0,2042.0,66.4261512637963,4.114576621597764,8.0
0,2043.0,70.54451390607642,4.118362642280113,8.0
0,2044.0,74.66568954787734,4.121175641800914,8.0
0,2045.0,78.78895523803453,4.123265690157203,8.0
0,2046.0,82.91377382647676,4.124818588442228,8.0
0,2047.0,87.03974621266552,4.125972386188764,8.0
0,2048.0,91.1665758663603,4.126829653694783,8.0
0,2049.0,95.29404246667687,4.127466600316569,8.0
0,2050.0,99.42198231600399,4.127939849327124,8.0
1,2024.0,1.0,1.0,7.0
1,2025.0,2.6272727032688077,1.6272727032688077,7.0
1,2026.0,4.7857040350098154,2.1584313317410078,7.0
1,2027.0,7.393907032455791,2.6082029974459755,7.0
1,2028.0,10.3829652780842,2.989058245628409,7.0
1,2029.0,13.69452209605098,3.3115568179667805,7.0
1,2030.0,17.27916253215519,3.584640436104209,7.0
1,2031.0,21.09504325547774,3.8158807233225485,7.0
1,2032.0,25.10673239381078,4.011689138333039,7.0
1,2033.0,29.284227135700775,4.177494741889994,7.0
1,2034.0,33.60212186075499,4.3178947250542175,7.0
1,2035.0,38.0389037334667,4.436781872711704,7.0
1,2036.0,42.57635622991772,4.537452496451028,7.0
1,2037.0,47.19905405930635,4.622697829388631,7.0
1,2038.0,51.864204918217254,4.665150858910906,8.0
1,2039.0,56.561659019290325,4.697454101073073,8.0
1,2040.0,61.28499147036014,4.723332451069816,8.0
1,2041.0,66.02905524601935,4.744063775659218,8.0
1,2042.0,70.78972702873023,4.760671782710874,8.0
1,2043.0,75.56370360038684,4.773976571656625,8.0
1,2044.0,80.34833873019198,4.784635129805139,8.0
1,2045.0,85.14151250441068,4.7931737742186975,8.0
1,2046.0,89.94152664553505,4.800014141124365,8.0
1,2047.0,94.74702065174547,4.8054940062104246,8.0
1,2048.0,99.55690461565489,4.809883963909408,8.0
1,2049.0,104.3703054049416,4.813400789286717,8.0
1,2050.0,109.1865235472833,4.8162181423416985,8.0
2,2024.0,1.0,1.0,8.0
2,2025.0,2.7966950112470106,1.7966950112470106,8.0
2,2026.0,5.170738867352146,2.3740438561051347,8.0
2,2027.0,7.963175814857802,2.792436947505657,8.0
2,2028.0,11.058813817480669,3.0956380026228665,8.0
2,2029.0,14.374175524231777,3.3153617067511094,8.0
2,2030.0,17.848766578444003,3.4745910542122274,8.0
2,2031.0,21.43874793700908,3.589981358565076,8.0
2,2032.0,25.11235032744389,3.673602390434811,8.0
2,2033.0,28.84655119718921,3.7342008697453175,8.0
2,2034.0,32.62466656562747,3.7781153684382596,8.0
2,2035.0,36.43460588769286,3.8099393220653925,8.0
2,2036.0,40.26760738864235,3.833001500949486,8.0
2,2037.0,44.117321586609734,3.8497141979673866,8.0
2,2038.0,47.979147139840464,3.861825553230732,8.0
2,2039.0,51.84974954854568,3.870602408705219,8.0
2,2040.0,55.726712367819744,3.876962819274063,8.0
2,2041.0,59.60828444865928,3.8815720808395366,8.0
2,2042.0,63.493196768615306,3.8849123199560216,8.0
2,2043.0,67.38052969265222,3.8873329240369165,8.0
2,2044.0,71.26961677976313,3.8890870871109073,8.0
2,2045.0,75.15997507355937,3.8903582937962327,8.0
2,2046.0,79.05125458526331,3.8912795117039467,8.0
2,2047.0,82.94320168504974,3.89194709978643,8.0
2,2048.0,86.83563257248744,3.892430887437691,8.0
2,2049.0,90.72841405110202,3.8927814786145767,8.0
2,2050.0,94.62144959608847,3.893035544986444,8.0
3,2024.0,1.0,1.0,7.0
3,2025.0,2.7899574421128985,1.7899574421128985,7.0
3,2026.0,5.195439756808753,2.405482314695854,7.0
3,2027.0,8.080531286597129,2.885091529788376,7.0
3,2028.0,11.33932826590926,3.2587969793121294,7.0
3,2029.0,14.889311816723794,3.5499835508145354,7.0
3,2030.0,18.666184270366426,3.776872453642633,7.0
3,2031.0,22.61984569460248,3.9536614242360533,7.0
3,2032.0,26.6655842731961,4.04573857859362,8.0
3,2033.0,30.773017636264598,4.1074333630685,8.0
3,2034.0,34.92468650546819,4.151668869203588,8.0
3,2035.0,39.10807248041552,4.183385974947336,8.0
3,2036.0,43.3141997978873,4.206127317471776,8.0
3,2037.0,47.53663278536542,4.222432987478122,8.0
3,2038.0,51.77075702959631,4.23412424423089,8.0
3,2039.0,56.01326397042329,4.242506940826977,8.0
3,2040.0,60.261781351676646,4.24851738125336,8.0
3,2041.0,64.51460825239131,4.252826900714671,8.0
3,2042.0,68.77052510270534,4.255916850314019,8.0
3,2043.0,73.02865746419461,4.258132361489276,8.0
3,2044.0,77.28837835960972,4.25972089541511,8.0
