year,p5,p25,p50,p75,p95
2024.0,1.0,1.0,1.0,1.0,1.0
2025.0,2.4090596859910107,2.5734833721682504,2.686130210447378,2.8228269963456483,3.0227608931100485
2026.0,4.133528704571649,4.593754283919995,4.890736357665928,5.2614133352082,5.781350051646004
2027.0,6.125832375198425,6.941471798907846,7.489926690971409,8.144468215402386,9.049660927192642
2028.0,8.300480694239138,9.58789617950682,10.396067645201391,11.409641137001326,12.690191141319414
2029.0,10.63376229074575,12.43580288617315,13.545815027018076,14.912727834177996,16.610871586524894
2030.0,13.127773460111671,15.445904353745853,16.8828972705309,18.637944627123463,20.74151005683545
2031.0,15.786528535812234,18.57841521158047,20.349502458963297,22.515027695992483,25.17229668466059
2032.0,18.544880766837384,21.796383420496355,23.949866571763422,26.4606270196254,29.608925596559782
2033.0,21.329821194545815,25.068900855911927,27.64044108529188,30.555044532821054,34.33254432366741
2034.0,24.229055920586223,28.4629870759718,31.439574586203037,34.74051259083612,39.00386867024328
2035.0,27.142142653944326,31.911938240234672,35.291571019804124,38.91108194302253,43.83020369621159
2036.0,30.026316672786393,35.37615032984992,39.124419127911054,43.13148967666747,48.772115863790134
2037.0,33.025845334306794,38.87549052424713,43.1417082205774,47.44837577751056,53.76167299960928
2038.0,35.86547783770093,42.34392145312551,47.12662600746922,51.765370452676066,58.82569370764988
2039.0,38.729004752557145,45.80420384627936,51.03526239974073,56.04265931251227,63.93356494881992
2040.0,41.57065983898369,49.30509164835313,54.98742600900616,60.38339172643018,69.02951526654786
2041.0,44.52867970637154,52.9033211313685,58.9246606322277,64.82237574013757,74.12289593156589
2042.0,47.65280498313896,56.469123376543884,62.893738011829086,69.19783880457845,79.18715732050896
2043.0,50.81753943977135,59.98006325232843,66.92025879782649,73.58186075166951,84.24936666922366
2044.0,53.87584562146575,63.47993289825477,70.87958467258545,78.05974714092342,89.45813452795574
2045.0,56.82651378627768,67.05996342885663,74.93960715412811,82.48314213311167,94.54955689889087
2046.0,59.86717353800335,70.6681783535189,79.02389148906548,86.9924956949589,99.78984526002934
2047.0,62.82016471361607,74.1800262545749,83.0547860942188,91.44929222695922,104.94012992277536
2048.0,65.68013218672026,77.7630456751668,87.10218736178456,95.92603738866823,109.94555939528196
2049.0,68.54812074118998,81.3761920047543,91.08445971651027,100.33082926777327,115.07326442740913
2050.0,71.5607544892218,84.97987676566687,95.10456985725278,104.77721587784225,120.10091992915521
